start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,0,1,0,74
2024-05-08,2024-05-14,can,0,1,0,1
2024-05-15,2024-05-21,can,0,2,0,28.5
2024-05-22,2024-05-28,can,0,2,0,38.5
2024-05-29,2024-06-04,can,0,1,0,42
2024-06-05,2024-06-11,can,0,4,0,42.75
2024-06-12,2024-06-18,can,0,1,0,45
2024-06-19,2024-06-25,can,0,1,0,4
2024-06-26,2024-07-02,can,0,1,0,4
2024-07-03,2024-07-09,can,0,3,0,16
2024-07-10,2024-07-16,can,0,1,0,4
2024-07-17,2024-07-23,can,0,1,0,3
2024-07-24,2024-07-30,can,0,1,0,7
2024-07-31,2024-08-06,can,0,2,0,1
2024-08-07,2024-08-13,can,0,2,0,62.5
2024-08-14,2024-08-20,can,0,1,0,3
2024-08-21,2024-08-27,can,0,1,0,4
2024-08-28,2024-09-03,can,0,1,0,9
2024-09-04,2024-09-10,can,0,1,0,9
2024-09-11,2024-09-17,can,0,2,0,20.5
2024-09-18,2024-09-24,can,0,3,0,49.333333333333336
2024-09-25,2024-10-01,can,0,3,0,53.666666666666664
2024-10-02,2024-10-08,can,0,3,0,43.666666666666664
2024-10-09,2024-10-15,can,0,3,0,38.666666666666664
2024-10-16,2024-10-22,can,0,4,0,41.5
2024-10-23,2024-10-29,can,0,9,0,50.666666666666664
