start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,0,5,0,17.8
2024-05-08,2024-05-14,can,0,3,0,54
2024-05-15,2024-05-21,can,0,8,0,22.375
2024-05-22,2024-05-28,can,0,5,0,35.4
2024-05-29,2024-06-04,can,0,7,0,29.714285714285715
2024-06-05,2024-06-11,can,0,4,0,25.75
2024-06-12,2024-06-18,can,0,3,0,14.333333333333334
2024-06-19,2024-06-25,can,0,8,0,17.875
2024-06-26,2024-07-02,can,0,3,0,24.666666666666668
2024-07-03,2024-07-09,can,0,5,0,21.2
2024-07-10,2024-07-16,can,0,4,0,20.5
2024-07-17,2024-07-23,can,0,2,0,15.5
2024-07-24,2024-07-30,can,0,1,0,14
2024-07-31,2024-08-06,can,0,2,0,20
2024-08-07,2024-08-13,can,0,2,0,22
2024-08-14,2024-08-20,can,0,2,0,17.5
2024-08-21,2024-08-27,can,0,4,0,15.5
2024-08-28,2024-09-03,can,0,2,0,14
2024-09-04,2024-09-10,can,0,1,0,13
2024-09-11,2024-09-17,can,0,1,0,8
2024-09-18,2024-09-24,can,0,2,0,19
2024-09-25,2024-10-01,can,0,1,0,12
2024-10-02,2024-10-08,can,0,2,0,36.5
2024-10-09,2024-10-15,can,0,2,0,7.5
2024-10-16,2024-10-22,can,0,1,0,18
