start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,1,0,51
2024-05-08,2024-05-14,mex,0,2,0,7
2024-05-15,2024-05-21,mex,0,1,0,69
2024-05-22,2024-05-28,mex,0,3,0,21.333333333333332
2024-05-29,2024-06-04,mex,0,1,0,63
2024-06-05,2024-06-11,mex,0,1,0,82
2024-06-12,2024-06-18,mex,0,1,0,85
2024-06-19,2024-06-25,mex,0,1,0,68
2024-06-26,2024-07-02,mex,0,14,0,44
2024-07-03,2024-07-09,mex,0,10,0,61.2
2024-07-10,2024-07-16,mex,0,10,0,68.3
2024-07-17,2024-07-23,mex,0,17,0,68.88235294117646
2024-07-24,2024-07-30,mex,0,16,0,52.625
2024-07-31,2024-08-06,mex,0,17,0,38.23529411764706
2024-08-07,2024-08-13,mex,0,10,0,18.5
