start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,2,0,50.5
2024-05-08,2024-05-14,mex,0,1,0,6
2024-05-15,2024-05-21,mex,0,1,0,38
2024-05-22,2024-05-28,mex,0,1,0,12
2024-05-29,2024-06-04,mex,0,1,0,48
2024-06-05,2024-06-11,mex,0,3,0,20.666666666666668
2024-06-12,2024-06-18,mex,0,2,0,18.5
2024-06-19,2024-06-25,mex,0,2,0,18.5
2024-06-26,2024-07-02,mex,0,1,0,50
2024-07-03,2024-07-09,mex,0,2,0,21
2024-07-10,2024-07-16,mex,0,5,0,23.6
2024-07-17,2024-07-23,mex,0,2,0,7.5
2024-07-24,2024-07-30,mex,0,1,0,9
2024-07-31,2024-08-06,mex,0,2,0,10
2024-08-07,2024-08-13,mex,0,5,0,11.4
2024-08-14,2024-08-20,mex,0,5,0,8.2
2024-08-21,2024-08-27,mex,0,2,0,5
2024-08-28,2024-09-03,mex,0,3,0,29.333333333333332
2024-09-04,2024-09-10,mex,0,3,0,23.666666666666668
2024-09-11,2024-09-17,mex,0,1,0,1
2024-09-18,2024-09-24,mex,0,2,0,4.5
2024-09-25,2024-10-01,mex,0,2,0,20.5
2024-10-02,2024-10-08,mex,0,2,0,15.5
2024-10-09,2024-10-15,mex,0,4,0,5
2024-10-16,2024-10-22,mex,0,4,0,11.25
2024-10-23,2024-10-29,mex,0,10,0,13.1
2024-10-30,2024-11-05,mex,0,4,0,16.5
2024-11-06,2024-11-12,mex,0,5,0,7
2024-11-13,2024-11-19,mex,0,1,0,1
2024-11-20,2024-11-26,mex,0,1,0,8
2024-11-27,2024-12-03,mex,0,1,0,44
2024-12-04,2024-12-10,mex,0,3,0,4
2024-12-11,2024-12-17,mex,0,3,0,6
2024-12-18,2024-12-24,mex,0,2,0,1
2024-12-25,2024-12-31,mex,0,2,0,3.5
2025-01-01,2025-01-07,mex,0,4,0,17.25
2025-01-08,2025-01-14,mex,0,3,0,9.333333333333334
2025-01-15,2025-01-21,mex,0,7,0,12.428571428571429
2025-01-22,2025-01-28,mex,0,4,0,28.25
