start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,1,0,9
2024-05-08,2024-05-14,mex,0,4,0,62.5
2024-05-15,2024-05-21,mex,0,3,0,54.666666666666664
2024-05-22,2024-05-28,mex,0,2,0,75.5
2024-05-29,2024-06-04,mex,0,3,0,45
2024-06-05,2024-06-11,mex,0,2,0,52.5
2024-06-12,2024-06-18,mex,0,2,0,4
2024-06-19,2024-06-25,mex,1,10,0.1,10.2
2024-06-26,2024-07-02,mex,0,6,0,23.166666666666668
2024-07-03,2024-07-09,mex,0,5,0,7.4
2024-07-10,2024-07-16,mex,0,1,0,5
2024-07-17,2024-07-23,mex,0,2,0,10.5
2024-07-24,2024-07-30,mex,0,2,0,7
2024-07-31,2024-08-06,mex,0,2,0,33.5
2024-08-07,2024-08-13,mex,0,2,0,7
2024-08-14,2024-08-20,mex,0,1,0,7
2024-08-21,2024-08-27,mex,0,1,0,4
2024-08-28,2024-09-03,mex,0,10,0,53.1
2024-09-04,2024-09-10,mex,0,6,0,44.333333333333336
2024-09-11,2024-09-17,mex,0,5,0,33.2
2024-09-18,2024-09-24,mex,0,4,0,49.75
2024-09-25,2024-10-01,mex,0,7,0,32.285714285714285
2024-10-02,2024-10-08,mex,0,5,0,14.8
2024-10-09,2024-10-15,mex,0,6,0,39
2024-10-16,2024-10-22,mex,0,2,0,38
2024-10-23,2024-10-29,mex,0,7,0,40.142857142857146
2024-10-30,2024-11-05,mex,0,16,0,44.6875
2024-11-06,2024-11-12,mex,0,3,0,22.666666666666668
2024-11-13,2024-11-19,mex,0,1,0,9
2024-11-20,2024-11-26,mex,1,11,0.09090909090909091,44.81818181818182
2024-11-27,2024-12-03,mex,0,5,0,25.2
2024-12-04,2024-12-10,mex,0,27,0,40.51851851851852
2024-12-11,2024-12-17,mex,0,11,0,55.81818181818182
2024-12-18,2024-12-24,mex,0,48,0,56.770833333333336
2024-12-25,2024-12-31,mex,0,5,0,17.6
2025-01-01,2025-01-07,mex,0,10,0,53.6
2025-01-08,2025-01-14,mex,0,6,0,23.166666666666668
2025-01-15,2025-01-21,mex,0,8,0,39.625
2025-01-22,2025-01-28,mex,0,38,0,62.526315789473685
2025-01-29,2025-02-04,mex,0,32,0,49.40625
2025-02-05,2025-02-11,mex,0,19,0,41.31578947368421
2025-02-12,2025-02-18,mex,0,8,0,21.875
2025-02-19,2025-02-25,mex,0,21,0,43.285714285714285
2025-02-26,2025-03-04,mex,0,34,0,45.94117647058823
2025-03-05,2025-03-11,mex,0,16,0,56.5
